service_id,date,exception_type
ff256ba8-6db8-4052-ac69-35fe15717743,20250120,1
1e8204a9-341c-41fe-a454-c687d1e0dd42,20250120,1
ca46bc6b-1d93-4aed-a9e8-d9595749f95b,20250120,1
db9afa3e-3ecc-4cac-85e1-e6647a9b82b5,20250120,1
f0a8d13f-c978-4803-8c19-c3f525f942a7,20250120,1
913a5e88-907f-49ed-a5b0-b46d55c659bd,20250120,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250121,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250121,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250121,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250122,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250122,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250122,1
bcfa588f-655d-4a8f-81b0-11d3c069e184,20250122,1
db13fd36-4245-4457-8456-1d968d1dedfe,20250122,1
e961b766-79ce-45ae-a593-46fdddacc9e2,20250122,1
4b195fb9-ba72-4382-be2a-43c312efb1bb,20250122,1
0dc22f41-e3a2-4f23-8af1-7eb7302841cd,20250122,1
edb5b232-1423-4785-b3fb-508c8bdf8bd2,20250122,1
ff256ba8-6db8-4052-ac69-35fe15717743,20250122,1
1e8204a9-341c-41fe-a454-c687d1e0dd42,20250122,1
ca46bc6b-1d93-4aed-a9e8-d9595749f95b,20250122,1
db9afa3e-3ecc-4cac-85e1-e6647a9b82b5,20250122,1
f0a8d13f-c978-4803-8c19-c3f525f942a7,20250122,1
913a5e88-907f-49ed-a5b0-b46d55c659bd,20250122,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250123,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250123,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250123,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250124,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250124,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250124,1
bcfa588f-655d-4a8f-81b0-11d3c069e184,20250124,1
db13fd36-4245-4457-8456-1d968d1dedfe,20250124,1
e961b766-79ce-45ae-a593-46fdddacc9e2,20250124,1
4b195fb9-ba72-4382-be2a-43c312efb1bb,20250124,1
0dc22f41-e3a2-4f23-8af1-7eb7302841cd,20250124,1
edb5b232-1423-4785-b3fb-508c8bdf8bd2,20250124,1
ff256ba8-6db8-4052-ac69-35fe15717743,20250124,1
1e8204a9-341c-41fe-a454-c687d1e0dd42,20250124,1
ca46bc6b-1d93-4aed-a9e8-d9595749f95b,20250124,1
db9afa3e-3ecc-4cac-85e1-e6647a9b82b5,20250124,1
f0a8d13f-c978-4803-8c19-c3f525f942a7,20250124,1
913a5e88-907f-49ed-a5b0-b46d55c659bd,20250124,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250127,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250127,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250127,1
bcfa588f-655d-4a8f-81b0-11d3c069e184,20250127,1
db13fd36-4245-4457-8456-1d968d1dedfe,20250127,1
e961b766-79ce-45ae-a593-46fdddacc9e2,20250127,1
4b195fb9-ba72-4382-be2a-43c312efb1bb,20250127,1
0dc22f41-e3a2-4f23-8af1-7eb7302841cd,20250127,1
edb5b232-1423-4785-b3fb-508c8bdf8bd2,20250127,1
ff256ba8-6db8-4052-ac69-35fe15717743,20250127,1
1e8204a9-341c-41fe-a454-c687d1e0dd42,20250127,1
ca46bc6b-1d93-4aed-a9e8-d9595749f95b,20250127,1
db9afa3e-3ecc-4cac-85e1-e6647a9b82b5,20250127,1
f0a8d13f-c978-4803-8c19-c3f525f942a7,20250127,1
913a5e88-907f-49ed-a5b0-b46d55c659bd,20250127,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250128,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250128,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250128,1
bcfa588f-655d-4a8f-81b0-11d3c069e184,20250129,1
db13fd36-4245-4457-8456-1d968d1dedfe,20250129,1
e961b766-79ce-45ae-a593-46fdddacc9e2,20250129,1
4b195fb9-ba72-4382-be2a-43c312efb1bb,20250129,1
0dc22f41-e3a2-4f23-8af1-7eb7302841cd,20250129,1
edb5b232-1423-4785-b3fb-508c8bdf8bd2,20250129,1
ff256ba8-6db8-4052-ac69-35fe15717743,20250129,1
1e8204a9-341c-41fe-a454-c687d1e0dd42,20250129,1
ca46bc6b-1d93-4aed-a9e8-d9595749f95b,20250129,1
db9afa3e-3ecc-4cac-85e1-e6647a9b82b5,20250129,1
f0a8d13f-c978-4803-8c19-c3f525f942a7,20250129,1
913a5e88-907f-49ed-a5b0-b46d55c659bd,20250129,1
bcfa588f-655d-4a8f-81b0-11d3c069e184,20250131,1
db13fd36-4245-4457-8456-1d968d1dedfe,20250131,1
e961b766-79ce-45ae-a593-46fdddacc9e2,20250131,1
4b195fb9-ba72-4382-be2a-43c312efb1bb,20250131,1
0dc22f41-e3a2-4f23-8af1-7eb7302841cd,20250131,1
edb5b232-1423-4785-b3fb-508c8bdf8bd2,20250131,1
ff256ba8-6db8-4052-ac69-35fe15717743,20250131,1
1e8204a9-341c-41fe-a454-c687d1e0dd42,20250131,1
ca46bc6b-1d93-4aed-a9e8-d9595749f95b,20250131,1
db9afa3e-3ecc-4cac-85e1-e6647a9b82b5,20250131,1
f0a8d13f-c978-4803-8c19-c3f525f942a7,20250131,1
913a5e88-907f-49ed-a5b0-b46d55c659bd,20250131,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250320,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250320,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250320,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250321,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250321,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250321,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250324,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250324,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250324,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250325,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250325,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250325,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250326,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250326,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250326,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250327,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250327,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250327,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250328,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250328,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250328,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250331,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250331,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250331,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250401,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250401,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250401,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250402,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250402,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250402,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250403,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250403,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250403,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250404,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250404,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250404,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250407,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250407,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250407,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250408,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250408,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250408,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250409,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250409,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250409,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250410,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250410,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250410,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250411,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250411,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250411,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250414,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250414,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250414,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250415,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250415,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250415,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250416,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250416,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250416,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250417,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250417,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250417,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250418,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250418,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250418,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250421,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250421,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250421,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250422,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250422,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250422,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250423,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250423,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250423,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250424,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250424,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250424,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250425,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250425,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250425,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250428,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250428,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250428,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250429,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250429,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250429,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250430,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250430,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250430,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250501,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250501,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250501,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250502,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250502,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250502,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250505,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250505,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250505,1
3882b9e8-8558-4589-b6fd-98ccf8f2d842,20250506,1
786b8c1c-253c-497e-87a9-cbab2fd47a7f,20250506,1
b38c6fe1-4621-476b-932c-8375a1e6d2ba,20250506,1
