trans_id,lang,translation,category,station_sid,course_sid
立町,zh-tw,立町,stop_name,67bd2414-e36c-486f-959f-56e1f081b437,
昭和市民センター西,en,Showa Shimin Center-nishi,stop_name,58d65c26-9d54-4e61-8570-176fa63df3a4,
昭和市民センター西,ko,쇼와 시민센터 서쪽,stop_name,58d65c26-9d54-4e61-8570-176fa63df3a4,
昭和市民センター西,zh-ch,昭和市民中心西,stop_name,58d65c26-9d54-4e61-8570-176fa63df3a4,
昭和市民センター西,zh-tw,昭和市民中心西,stop_name,58d65c26-9d54-4e61-8570-176fa63df3a4,
段原一丁目,en,Dambara-itchome (Dambara 1),stop_name,4808e6fd-94f2-4e10-aef8-f628b6799f3e,
段原一丁目,ko,단바라 1초메,stop_name,4808e6fd-94f2-4e10-aef8-f628b6799f3e,
段原一丁目,zh-ch,段原一丁目,stop_name,4808e6fd-94f2-4e10-aef8-f628b6799f3e,
段原一丁目,zh-tw,段原一丁目,stop_name,4808e6fd-94f2-4e10-aef8-f628b6799f3e,
細坂上,en,Hososaka-kami,stop_name,af7331c0-2ea2-46da-b650-7cfe64080a3f,
細坂上,ko,호소사카 카미,stop_name,af7331c0-2ea2-46da-b650-7cfe64080a3f,
細坂上,zh-ch,细坂上,stop_name,af7331c0-2ea2-46da-b650-7cfe64080a3f,
細坂上,zh-tw,細阪上,stop_name,af7331c0-2ea2-46da-b650-7cfe64080a3f,
袋町,ja,袋町,stop_name,24d6cb92-59ae-476a-9adb-97b9300e421f,
袋町,ja-Hrkt,ふくろまち,stop_name,24d6cb92-59ae-476a-9adb-97b9300e421f,
袋町,en,Fukuromachi,stop_name,24d6cb92-59ae-476a-9adb-97b9300e421f,
袋町,ko,후쿠로마치,stop_name,24d6cb92-59ae-476a-9adb-97b9300e421f,
袋町,zh-ch,袋町,stop_name,24d6cb92-59ae-476a-9adb-97b9300e421f,
袋町,zh-tw,袋町,stop_name,24d6cb92-59ae-476a-9adb-97b9300e421f,
