trans_id,lang,translation,category,station_sid,course_sid
県病院前,ko,겐 뵤인 마에,stop_name,9fb92332-2d09-4072-a3a4-a21bc2adfb5b,
県病院前,zh-ch,县医院前,stop_name,9fb92332-2d09-4072-a3a4-a21bc2adfb5b,
県病院前,zh-tw,縣醫院前,stop_name,9fb92332-2d09-4072-a3a4-a21bc2adfb5b,
高須,en,Takasu,stop_name,ea6162b3-25c5-4818-9b69-9a5bdfef3709,
高須,ko,다카스,stop_name,ea6162b3-25c5-4818-9b69-9a5bdfef3709,
高須,zh-ch,高须,stop_name,ea6162b3-25c5-4818-9b69-9a5bdfef3709,
高須,zh-tw,高須,stop_name,ea6162b3-25c5-4818-9b69-9a5bdfef3709,
清水１丁目,en,Shimizu-itchome (Shimizu 1),stop_name,c0738242-3657-4cfe-9aa9-15604087457f,
清水１丁目,ko,시미즈 1초메,stop_name,c0738242-3657-4cfe-9aa9-15604087457f,
清水１丁目,zh-ch,清水1丁目,stop_name,c0738242-3657-4cfe-9aa9-15604087457f,
清水１丁目,zh-tw,清水1丁目,stop_name,c0738242-3657-4cfe-9aa9-15604087457f,
新明神橋,en,Shin-myojimbashi,stop_name,24e283cf-0286-4f57-86f4-8b7c125ad60f,
新明神橋,ko,신묘진바시,stop_name,24e283cf-0286-4f57-86f4-8b7c125ad60f,
新明神橋,zh-ch,新明神桥,stop_name,24e283cf-0286-4f57-86f4-8b7c125ad60f,
新明神橋,zh-tw,新明神橋,stop_name,24e283cf-0286-4f57-86f4-8b7c125ad60f,
広島バス大州車庫前,en,HIROSHIMA-BUS Ozu Shako-mae (Ozu Depot),stop_name,55608f55-1a44-4a67-926b-4cba417e643f,
広島バス大州車庫前,ko,히로시마 버스 오즈 샤코 마에,stop_name,55608f55-1a44-4a67-926b-4cba417e643f,
広島バス大州車庫前,zh-ch,广岛巴士大州车库前,stop_name,55608f55-1a44-4a67-926b-4cba417e643f,
広島バス大州車庫前,zh-tw,廣島巴士大州車庫前,stop_name,55608f55-1a44-4a67-926b-4cba417e643f,
豊平支所,ja,豊平支所,stop_name,88fe7c1b-6879-425b-9755-8a266ebc633a,
豊平支所,ja-Hrkt,とよひらししょ,stop_name,88fe7c1b-6879-425b-9755-8a266ebc633a,
飯室西,en,Imuro-nishi,stop_name,f02f1876-8eef-49f6-9bff-bc001848070b,
飯室西,ko,이무로 니시,stop_name,f02f1876-8eef-49f6-9bff-bc001848070b,
飯室西,zh-ch,饭室西,stop_name,f02f1876-8eef-49f6-9bff-bc001848070b,
飯室西,zh-tw,飯室西,stop_name,f02f1876-8eef-49f6-9bff-bc001848070b,
下千足,en,Shimo-senzoku,stop_name,eaca5d2c-9761-4b35-bc29-d831701a7c8e,
下千足,ko,시모센조쿠,stop_name,eaca5d2c-9761-4b35-bc29-d831701a7c8e,
下千足,zh-ch,下千足,stop_name,eaca5d2c-9761-4b35-bc29-d831701a7c8e,
下千足,zh-tw,下千足,stop_name,eaca5d2c-9761-4b35-bc29-d831701a7c8e,
龍頭神社前,en,Ryuzu Jinja-mae (Ryuzu Jinja Shrine),stop_name,91061102-3215-4232-9f71-a3cf496ebb0f,
龍頭神社前,ko,류즈진자 신사,stop_name,91061102-3215-4232-9f71-a3cf496ebb0f,
龍頭神社前,zh-ch,龙头神社前,stop_name,91061102-3215-4232-9f71-a3cf496ebb0f,
龍頭神社前,zh-tw,龍頭神社前,stop_name,91061102-3215-4232-9f71-a3cf496ebb0f,
広島北インター入口,en,Hiroshima-kita Inter-iriguchi,stop_name,417fb5d8-bbc6-4451-9e52-ae712cd3771a,
広島北インター入口,ko,히로시마 키타 인터 이리구치,stop_name,417fb5d8-bbc6-4451-9e52-ae712cd3771a,
広島北インター入口,zh-ch,广岛北IC入口,stop_name,417fb5d8-bbc6-4451-9e52-ae712cd3771a,
広島北インター入口,zh-tw,廣島北IC入口,stop_name,417fb5d8-bbc6-4451-9e52-ae712cd3771a,
鈴が峰住宅西,en,Suzugamine Jutaku-nishi,stop_name,e6574c83-4feb-4a89-9db9-b468aa275e68,
鈴が峰住宅西,ko,스즈가미네 주타쿠 니시,stop_name,e6574c83-4feb-4a89-9db9-b468aa275e68,
鈴が峰住宅西,zh-ch,铃峰住宅西,stop_name,e6574c83-4feb-4a89-9db9-b468aa275e68,
鈴が峰住宅西,zh-tw,鈴峰住宅西,stop_name,e6574c83-4feb-4a89-9db9-b468aa275e68,
江波東二丁目,en,Eba-higashi-nichome (Eba-higashi 2),stop_name,c12de383-381d-439e-be31-03af51a9c498,
江波東二丁目,ko,에바 히가시 2초메,stop_name,c12de383-381d-439e-be31-03af51a9c498,
江波東二丁目,zh-ch,江波东二丁目,stop_name,c12de383-381d-439e-be31-03af51a9c498,
江波東二丁目,zh-tw,江波東二丁目,stop_name,c12de383-381d-439e-be31-03af51a9c498,
広商店街,en,Hiro Shotengai (Hiro Shopping Street),stop_name,5b9549e9-bb1f-49f8-8859-7dbba7c9af16,
広商店街,ko,히로 상가,stop_name,5b9549e9-bb1f-49f8-8859-7dbba7c9af16,
広商店街,zh-ch,广商业街,stop_name,5b9549e9-bb1f-49f8-8859-7dbba7c9af16,
広商店街,zh-tw,廣商業街,stop_name,5b9549e9-bb1f-49f8-8859-7dbba7c9af16,
勤住橋,en,Kinjubashi,stop_name,993c0a15-3b90-44d0-8565-77c54e2132f6,
勤住橋,ko,긴주바시,stop_name,993c0a15-3b90-44d0-8565-77c54e2132f6,
勤住橋,zh-ch,勤住桥,stop_name,993c0a15-3b90-44d0-8565-77c54e2132f6,
勤住橋,zh-tw,勤住橋,stop_name,993c0a15-3b90-44d0-8565-77c54e2132f6,
尾淵,en,Obuchi,stop_name,fdadee42-79f8-4b58-a13a-6e301d7cd3de,
尾淵,ko,오부치,stop_name,fdadee42-79f8-4b58-a13a-6e301d7cd3de,
尾淵,zh-ch,尾渊,stop_name,fdadee42-79f8-4b58-a13a-6e301d7cd3de,
尾淵,zh-tw,尾淵,stop_name,fdadee42-79f8-4b58-a13a-6e301d7cd3de,
宮内河田,en,Miyauchi Koda,stop_name,f2ed037b-e457-4ffd-b2be-8b898f2d7406,
宮内河田,ko,미야우치 코다,stop_name,f2ed037b-e457-4ffd-b2be-8b898f2d7406,
宮内河田,zh-ch,宫内河田,stop_name,f2ed037b-e457-4ffd-b2be-8b898f2d7406,
宮内河田,zh-tw,宮內河田,stop_name,f2ed037b-e457-4ffd-b2be-8b898f2d7406,
仁保南３番,en,Niho-minami-samban (Niho-minami 3),stop_name,b8b0eeb6-a7bf-42bb-8b13-a5cf6f809915,
仁保南３番,ko,니호 미나미 3반,stop_name,b8b0eeb6-a7bf-42bb-8b13-a5cf6f809915,
仁保南３番,zh-ch,仁保南3番,stop_name,b8b0eeb6-a7bf-42bb-8b13-a5cf6f809915,
仁保南３番,zh-tw,仁保南3番,stop_name,b8b0eeb6-a7bf-42bb-8b13-a5cf6f809915,
阿品台中央,en,Ajinadai-chuo,stop_name,066df34a-03a8-4239-9da7-faa64dbd2a15,
阿品台中央,ko,아지나다이 추오,stop_name,066df34a-03a8-4239-9da7-faa64dbd2a15,
阿品台中央,zh-ch,阿品台中央,stop_name,066df34a-03a8-4239-9da7-faa64dbd2a15,
阿品台中央,zh-tw,阿品臺中央,stop_name,066df34a-03a8-4239-9da7-faa64dbd2a15,
牛田本町六丁目,en,Ushita-honmachi-rokuchome (Ushita-honmachi 6),stop_name,72666b30-5848-4529-adaf-70c564c97ea5,
牛田本町六丁目,ko,우시타 혼마치 6초메,stop_name,72666b30-5848-4529-adaf-70c564c97ea5,
牛田本町六丁目,zh-ch,牛田本町六丁目,stop_name,72666b30-5848-4529-adaf-70c564c97ea5,
牛田本町六丁目,zh-tw,牛田本町六丁目,stop_name,72666b30-5848-4529-adaf-70c564c97ea5,
原田橋,en,Haradabashi,stop_name,da3a019c-9a5b-4860-b50c-cddfb2fbd280,
原田橋,ko,하라다바시,stop_name,da3a019c-9a5b-4860-b50c-cddfb2fbd280,
原田橋,zh-ch,原田桥,stop_name,da3a019c-9a5b-4860-b50c-cddfb2fbd280,
