station_sid,daiya_sid,course_station_desc,course_station_desc_symbol
663f18d2-7ddc-4c7f-b573-eae58d46de1b,94fa4ed2-0802-40e4-a07c-000bdf28906b,,
cd2ec5da-0600-4e05-909f-d581a2aa2109,94fa4ed2-0802-40e4-a07c-000bdf28906b,,
6d84218f-0839-40ac-96fa-f886c6442fbd,94fa4ed2-0802-40e4-a07c-000bdf28906b,,
84c0f2b9-c2a2-4210-85a4-f36a863f099c,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
8cab3a0f-33c7-46bb-bdd3-1bd15fba66a4,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
6c0c91bf-1d5f-46c4-bcd7-fd870b9e5cda,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
9178cc25-5a07-41f3-9573-206cb014ae08,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
d8604570-7d14-4205-8f85-6014d0e77877,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
c0b9fe7c-e324-4bb8-ab01-cf26b2f1c28a,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
f68d4543-0f00-4bab-bcce-6fa75d2be313,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
fb8b40ba-bda5-452c-ab49-74de540f386a,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
e421d3b6-8971-47c4-8985-9270f129b689,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
da5b66a2-b4bc-4a77-b289-7820fe5e75f4,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
34934541-ff33-4738-9a98-aae0cb5c1930,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
09fbb5a1-adc7-462e-9b4b-92cc09f3b91c,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
b4e04d52-e853-4d5b-b1ef-88a348f6af95,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
08c56959-7c03-4909-a82a-47c706add655,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
65bd6881-afed-4f97-956d-a49b83dd2e71,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
04ecfc80-0518-40a9-8576-40254d73bb2c,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
89f34450-38f0-42da-97ad-be1ab64db4fd,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
c9802c2b-5392-4e24-90ad-bea67c6e4fd2,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
58e8d2a0-efc2-49f7-ba9e-56722abf4ec7,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
03d1b2cb-f09f-49b0-9f2d-2e35f85e2e79,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
05515ec2-16aa-4ccc-a497-917a03ccc57b,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
fe98a078-823f-425e-ad88-74acc38e5241,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
9b5ed829-77fc-4882-8989-1d564e8bef64,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
2bf79c6c-5d4e-49e2-ba9f-b7e0fc59331a,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
c3523e7c-cd80-4148-ab09-ea7a8787d6a9,8beee6ee-1b04-4c24-b422-000fb02b4ed6,,
2165bdaf-7706-4bb0-ba16-9ee726ca1a36,dd0b8029-c5ab-4064-a70f-00191fdae573,,
3f444efb-1c7c-4ee7-9ad0-db24fd01d835,dd0b8029-c5ab-4064-a70f-00191fdae573,,
8f138dbc-4368-4ce5-805c-f8b19ee0cdce,dd0b8029-c5ab-4064-a70f-00191fdae573,,
38523cac-b702-4c12-84cf-2f7cb6c64ead,dd0b8029-c5ab-4064-a70f-00191fdae573,,
4baf7c00-34fa-4954-9075-bc1c19802b29,dd0b8029-c5ab-4064-a70f-00191fdae573,,
9e333903-c0bb-4ade-998a-60134d7d70e6,dd0b8029-c5ab-4064-a70f-00191fdae573,,
3be1ab74-0ed2-404a-9472-84d35bc153cc,dd0b8029-c5ab-4064-a70f-00191fdae573,,
928d1672-a37f-45a5-868e-824173cdb80b,dd0b8029-c5ab-4064-a70f-00191fdae573,,
b3e92125-7967-4182-98d6-32573438b0b3,dd0b8029-c5ab-4064-a70f-00191fdae573,,
70d79909-0cb2-4395-a4af-99bdc304d64e,dd0b8029-c5ab-4064-a70f-00191fdae573,,
e3afcde4-db8f-4bb3-8d53-59678338b4fb,dd0b8029-c5ab-4064-a70f-00191fdae573,,
6ed2d0d4-03a7-455d-8576-500dd288c6e1,dd0b8029-c5ab-4064-a70f-00191fdae573,,
214a2f06-e65b-4a70-80fc-b5a5aeb96591,dd0b8029-c5ab-4064-a70f-00191fdae573,,
a823d0ee-80ee-40b3-b179-8cf055ab401b,dd0b8029-c5ab-4064-a70f-00191fdae573,,
a0f6308f-366f-4e71-81ee-c6680bef0a60,dd0b8029-c5ab-4064-a70f-00191fdae573,,
